ID,x,y,P,ETo.FAO,ETo.HAM,ETo.HAR,ETo.BLA,ETo.AVG,ETa.HAM,ETa.HAR,ETa.BLA,ETa.AVG,RD.HAM,RS,RS100,LULC_5,random
150840,-91.97083333,18.3125,1587,1532,1310.728027,1330.182983,1527.375488,1382.943848,1202.17749,1195.074463,1342.092407,1246.44812,-226.5349121,285.3904114,584,21007,1
151007,-90.5625,18.3125,1301,1561,1269.825439,1439.471313,1498.728882,1346.126587,1028.467896,1076.352173,1114.869263,1073.229777,-340.3302612,458.4493713,473,20702,1
151012,-90.52083333,18.3125,1287,1561,1265.293945,1437.578735,1495.619873,1342.069255,1028.184937,1077.310547,1115.530518,1073.675334,-335.9176025,442.7392578,459,20702,1
151083,-89.92916667,18.3125,1160,1523,1201.783325,1388.400879,1450.42688,1284.66451,1018.948303,1064.626221,1087.173096,1056.915873,-279.5766296,283.7485657,306,20702,1
151389,-91.02083333,18.30416667,1426,1547,1255.306152,1414.604858,1488.738892,1333.117065,1021.544983,1072.988525,1116.42041,1070.317973,-318.5418701,642.8887939,577,20404,1
151407,-90.87083333,18.30416667,1400,1547,1251.449585,1422.896973,1485.953735,1329.617635,1030.450928,1084.585449,1123.828369,1079.621582,-311.9724121,576.7692261,549,20404,1
151515,-89.97083333,18.30416667,1176,1523,1197.74292,1388.94812,1447.567871,1281.017904,1064.545776,1127.196167,1151.617554,1114.453166,-269.624939,58.52610016,317,20404,1
151530,-89.84583333,18.30416667,1146,1523,1194.193237,1380.869263,1445.079346,1277.82194,1018.462036,1067.96582,1091.238037,1059.221965,-272.5286255,266.7485657,289,20404,1
151583,-89.40416667,18.30416667,1123,1496,1167.440918,1351.725952,1425.237061,1253.372965,1017.512207,1073.718994,1110.375488,1067.20223,-243.7499237,237.4571381,256,20404,1
151618,-89.1125,18.30416667,1194,1508,1184.630859,1342.275635,1438.604736,1269.288818,1026.183594,1067.694702,1127.159302,1073.679199,-239.9438477,381.8888245,315,20404,1
151813,-91.12916667,18.29583333,1519,1547,1269.284424,1411.474121,1498.649658,1345.739502,1036.397705,1081.399292,1129.343018,1082.380005,-329.52948,671.9255371,674,10201,1
151877,-90.59583333,18.29583333,1313,1561,1272.510254,1436.842407,1500.290405,1348.436971,1029.468994,1073.417969,1115.115601,1072.667521,-342.0769958,471.4493713,485,20702,1
